index;x;y;z
0;0.089081;-0.407074;-0.943436
1;0.089996;-0.296677;-1.034653
2;0.125061;-0.292755;-1.087921
3;0.235535;-0.418808;-1.141754
4;0.317245;-0.263748;-1.181610
5;0.239868;-0.197449;-1.027893
6;0.355240;-0.242462;-0.980988
7;0.286362;-0.143906;-0.638153
8;0.169937;-0.297333;-0.649475
9;0.157166;-0.291611;-0.588364
10;0.057755;-0.499191;-0.776596
11;0.233627;-0.369034;-1.052368
12;0.033707;-0.276321;-1.033432
13;0.177032;-0.323196;-1.127777
14;0.226654;-0.166885;-1.186798
15;0.200073;-0.165085;-1.105331
16;0.118576;-0.099808;-0.982788
17;0.073090;-0.147156;-0.811005
18;-0.189560;-0.214752;-0.727585
19;-0.152222;-0.219147;-0.569473
20;-0.353867;-0.236267;-0.581375
21;-0.288040;-0.246552;-0.775177
22;-0.453903;-0.289871;-0.803009
23;-0.512604;-0.326462;-1.192581
24;-0.622025;-0.477982;-1.110733
25;-0.313599;-0.955811;-0.832870
26;-0.432205;-0.525879;-0.847031
27;-0.440567;-0.578476;-1.026932
28;-0.466064;-0.480591;-0.588257
29;-0.418365;-0.288086;-0.603668
30;-0.314514;-0.248795;-0.582535
31;-0.368240;-0.171402;-0.731262
32;-0.480469;-0.453568;-1.049011
33;-0.320816;-0.540878;-0.966263
34;-0.494507;-0.515152;-0.940598
35;-0.555130;-0.549500;-0.969269
36;-0.219330;-0.620819;-1.060043
37;-0.341721;-0.461731;-0.636246
38;0.184494;-0.546814;-0.834778
39;-0.246582;-0.431061;-0.559647
40;0.065109;-0.373413;-0.338486
41;0.012054;-0.195343;-0.755157
42;-0.082474;0.143936;-1.320755
43;0.008224;-0.144867;-1.111771
44;0.086273;0.101440;-0.871429
45;0.523880;-0.294342;-1.195053
46;0.567932;-0.257370;-1.333252
47;0.179489;-0.461334;-0.946869
48;0.621689;-0.383148;-0.853790
49;0.921921;-0.289246;-0.811508
50;0.674759;-0.481171;-0.547104
51;0.697083;-0.186295;-0.640091
52;0.510483;-0.000381;-0.540375
53;0.632431;-0.173645;-0.557724
54;0.761124;-0.455368;-0.596939
55;0.677368;-0.630432;-0.699402
56;0.887451;-0.726120;-0.801468
57;0.918518;-0.958420;-0.542587
58;0.603180;-1.083313;-0.306900
59;0.655029;-0.741211;-0.242630
60;0.726303;-1.034088;-0.162994
61;0.632797;-0.618622;-0.300674
62;0.563385;-0.552780;-0.167206
63;0.802475;-0.433960;-0.023148
64;0.471909;-0.312073;-0.128693
65;0.233734;-0.647324;-0.277054
66;1.118225;-0.671249;-0.121353
67;1.297577;-0.579605;-0.013336
68;0.743729;-1.044296;-0.119858
69;0.845139;-1.194000;0.536331
70;0.857986;-0.786377;0.185654
71;-0.193466;-0.592621;-0.257828
72;0.747284;-0.356918;0.100021
73;0.455276;-0.451553;-0.338028
74;0.269760;-0.460892;-0.200027
75;0.188858;-0.592743;-0.275238
76;0.113205;-1.007904;-0.188843
77;0.187881;-2.304260;-0.725067
78;0.057190;-1.989502;0.479202
79;0.163849;-1.084259;-0.125366
80;0.070175;-0.765381;0.436035
81;0.037766;-0.356125;0.022446
82;0.119019;-0.747284;0.011765
83;0.089569;-0.416779;-0.090347
84;0.011673;-0.412552;0.096573
85;0.016251;-1.277390;0.379913
86;0.010025;-1.698074;0.369766
87;0.060562;-1.132584;-0.291138
88;-0.076904;-1.568573;-0.244415
89;0.016296;-1.344330;0.325790
90;-0.436203;-1.303314;0.242294
91;-1.010345;-1.335999;0.016815
92;-0.743973;-0.804611;-0.163437
93;-0.001129;-0.627792;-0.095856
94;-0.111298;-0.297485;-0.055725
95;-0.144150;-0.003510;-0.077255
96;-0.285202;-0.464188;-0.521500
97;-0.677826;-1.339127;-1.527847
98;-0.498474;-1.086441;-1.147888
99;0.012711;-0.507751;0.272064
100;-1.639755;-1.544037;-0.567184
101;-0.419632;-0.482330;0.402267
102;-0.368683;-1.334564;0.224991
103;0.080933;-0.980469;-0.953644
104;-0.282898;-0.605652;0.172867
105;-0.274704;-0.672760;0.283920
106;-0.493256;-0.874313;-0.397446
107;-0.161804;-1.161407;0.021729
108;0.217560;-1.296921;-0.018082
109;-0.266373;-1.622864;-0.030930
110;-0.508545;-1.192093;0.120056
111;-1.004349;-1.356232;0.232605
112;-1.053894;-1.190979;-0.001755
113;-0.245621;-0.758377;0.099106
114;-0.140396;-0.571411;0.175354
115;-0.211700;0.030563;0.030914
116;-0.135254;-0.103058;-0.064804
117;-0.297440;-0.474075;-0.903946
118;-1.499146;-1.649109;-1.284546
119;0.000458;-0.392700;-1.105774
120;-1.800888;-1.372101;-0.049942
121;-0.634171;-0.261536;0.289200
122;-0.478516;-0.964493;0.152481
123;-0.197998;-1.584824;-0.322830
124;-0.174988;-0.673508;-0.096985
125;-0.404816;-0.577576;-0.177612
126;-0.179718;-0.648560;0.025711
127;-0.527237;-1.057114;-0.220337
128;-0.163208;-1.214478;-0.299789
129;0.232407;-1.431824;-0.017685
130;-0.382004;-1.412262;0.242905
131;-1.004166;-1.016052;0.008469
132;-1.323898;-1.507904;-0.065292
133;-0.642532;-0.915024;-0.169815
134;-0.286469;-0.975067;0.077789
135;-0.106995;-0.289108;0.289764
136;-0.151215;0.102539;0.013596
